model_type,config_id,config_params,fold,accuracy,notes
RF,2,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",1,0.4782608695652174,
RF,2,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",2,0.5145631067961165,
RF,2,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",3,0.514792899408284,
RF,2,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",4,0.4494949494949495,
RF,2,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",5,0.3569482288828338,
RF,3,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 5}",1,0.4891304347826087,
RF,3,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 5}",2,0.4854368932038835,
RF,3,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 5}",3,0.4970414201183432,
RF,3,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 5}",4,0.46464646464646464,
RF,3,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini', 'min_samples_split': 5}",5,0.3896457765667575,
RF,4,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini', 'min_samples_leaf': 5}",1,0.4673913043478261,
RF,4,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini', 'min_samples_leaf': 5}",2,0.5048543689320388,
RF,4,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini', 'min_samples_leaf': 5}",3,0.4911242603550296,
RF,4,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini', 'min_samples_leaf': 5}",4,0.4696969696969697,
RF,4,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini', 'min_samples_leaf': 5}",5,0.35967302452316074,
RF,5,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'entropy'}",1,0.4673913043478261,
RF,5,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'entropy'}",2,0.49514563106796117,
RF,5,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'entropy'}",3,0.44970414201183434,
RF,5,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'entropy'}",4,0.47474747474747475,
RF,5,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'entropy'}",5,0.3651226158038147,
RF,6,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",1,0.3804347826086957,
RF,6,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",2,0.46601941747572817,
RF,6,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",3,0.47337278106508873,
RF,6,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",4,0.43434343434343436,
RF,6,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",5,0.35149863760217986,
RF,7,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy', 'max_features': 'log2'}",1,0.40217391304347827,
RF,7,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy', 'max_features': 'log2'}",2,0.4563106796116505,
RF,7,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy', 'max_features': 'log2'}",3,0.47928994082840237,
RF,7,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy', 'max_features': 'log2'}",4,0.48484848484848486,
RF,7,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy', 'max_features': 'log2'}",5,0.3814713896457766,
RF,8,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy', 'min_samples_split': 10}",1,0.43478260869565216,
RF,8,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy', 'min_samples_split': 10}",2,0.47572815533980584,
RF,8,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy', 'min_samples_split': 10}",3,0.5443786982248521,
RF,8,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy', 'min_samples_split': 10}",4,0.4090909090909091,
RF,8,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy', 'min_samples_split': 10}",5,0.3814713896457766,
RF,9,"{'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'min_samples_leaf': 3}",1,0.42391304347826086,
RF,9,"{'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'min_samples_leaf': 3}",2,0.5145631067961165,
